Period,Date,Long Date,Open,High,Low,Close,Upper Trend Channel,Trend Channel Pivot,Lower Trend Channel,Up Trends,New Uptrends,Down Trends,New Downtrends,Total Component Volume,Advances,Declines,Advancing Volume,Declining Volume,New Highs,New Lows,Issues Traded,Issues Unchanged,% above 200MA,% above 30MA,% above 18MA,% above 9MA,% above 4MA,Total Stks above 200MA,Total Stks below 200MA,Total Stks equal 200MA,Total Stks above 30MA,Total Stks below 30MA,Total Stks equal 30MA,Total Stks above 18MA,Total Stks below 18ma,Total Stks equal 18MA,Total Stks above 9MA,Total Stks below 9MA,Total Stks equal 9MA,Total Stks above 4MA,Total Stks below 4MA,Total Stks equal 4MA,New Highs - Quarter,New Lows - Quarter,New 1st Day Highs,New 1st Day Lows,New 1st Day Highs - Quarter,New 1st Day Lows - Quarter,Equal Weight Open Px,Equal Weight High Px,Equal Weight Low Px,Equal Weight Close Px,ETF Trade Volume,% above 50MA,Total Stks above 50MA,Total Stks below 50MA,Total Stks equal 50MA,Total Constituent Price Gains,Total Constituent Price Losses,FV8,FV9,FV10,FV11,FV12,FV13,FV14,FV15
D,20100119,1/19/10,10608.37012,10729.88965,10591.96973,10725.42969,10695.1848125,10607.47119125,10519.75757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100120,1/20/10,10719.69043,10719.91992,10517.2998,10603.15039,10695.1848125,10617.72985875,10540.274905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100121,1/21/10,10603.91016,10614.94043,10374.69043,10389.87988,10695.1848125,10601.4523925,10507.7199725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3042889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100122,1/22/10,10389.58008,10389.58008,10157.63965,10172.98047,10681.5998525,10547.89746125,10414.19507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3236606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100125,1/25/10,10175.09961,10256.87012,10171.76953,10196.86035,10681.5998525,10504.328735,10327.0576175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100126,1/26/10,10195.34961,10285.12988,10155.59961,10194.29004,10662.1950675,10450.34887625,10238.502685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172970,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100127,1/27/10,10194.29004,10255.05957,10104.36035,10236.16016,10636.272705,10418.17273,10200.072755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2621718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100128,1/28/10,10236.91992,10258.83008,10055.08008,10120.45996,10638.407715,10412.67517125,10186.9426275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100129,1/29/10,10122.04004,10239.33984,10043.75,10067.33008,10623.04785,10388.803955,10154.56006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100201,2/1/10,10068.99023,10190.88965,10068.91016,10185.53027,10629.075195,10390.72265625,10152.3701175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100202,2/2/10,10186.12988,10314.83984,10173.58984,10296.84961,10647.55249,10399.96130375,10152.3701175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100203,2/3/10,10291.73047,10307.2002,10231.92969,10270.5498,10670.6423325,10411.506225,10152.3701175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100204,2/4/10,10273.12012,10273.12012,9998.03027,10002.17969,10657.0573725,10396.56994625,10136.08252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3042464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100205,2/5/10,10003.69043,10031.95996,9835.08984,10012.23047,10681.5998525,10387.17871125,10092.75757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3083201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100208,2/8/10,10005.42969,10028.55957,9904.08984,9908.38965,10662.1950675,10336.505005,10010.8149425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2162712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
